id,year,title,type,desc,img,linkTitle,link
Swordsman,2014,聖劍使的禁咒詠唱,APP,改編自日本知名輕小說的線上角色扮演遊戲，提供玩家展現自我風格的角色製作工具，以及原汁原味呈現小說中的刺激戰鬥。製作範籌包含UI系統、戰鬥系統、對話演出系統、AI模組等。,img/swordsman.jpg,介紹影片,https://www.youtube.com/watch?v=4mpUbb8b2Dw
MissUndine,2015,溫蒂妮小姐AR紅包,APP,結合知名網紅插畫家IP與AR技術，變成會唱會動的有趣紅包，讓過年拿到紅包的moment加上一份驚喜！,img/miss-undine.jpg,活動網頁,http://cameo.tw/missundine/envelope/index.php
QToto,2015,兒童卡啦OK,APP,提供親子同樂的攝影棚，讓爸爸媽媽及小朋友能跟著兒歌一起唱唱跳跳，並透過簡單的操作錄製成影片。,img/qtoto.jpeg,iOS下載,https://itunes.apple.com/tw/app/qtoto/id1035232788?mt=8
ArtBank,2015,藝術銀行展品租借,APP,提供簡潔俐落的介面，方便挑選欲租借的藝術作品。除了可以觀看作者與作品介紹外，也能使用AR功能預覽展品擺放在實際場域的樣貌。(企業版不提供下載),img/artbank.png,,
LandBank,2016,土銀行史館導覽,APP,豐富的語音導覽以及實景VR360體驗，有如親身參觀土地銀行行使館。,img/landbank.jpg,"iOS下載,
Android下載","https://itunes.apple.com/tw/app/%E5%9C%9F%E9%8A%80%E8%A1%8C%E5%8F%B2%E9%A4%A8/id1149271840?mt=8,
https://play.google.com/store/apps/details?id=com.cameo.landbank&hl=zh_TW"
NMNS,2016,探索科博尋寶趣,APP,結合實體場域的探索解謎遊戲，擁有豐富的關卡及讓人絞盡腦汁的題目，讓來訪遊客感受新奇有趣的博物館深度體驗。製作範籌包含解謎任務系統、地圖系統、AR拍照上傳分享功能、VR恐龍世界、Beacon定位系統、故事演出系統等。,img/nmns.jpg,"介紹影片,
iOS下載,
Android下載","https://www.youtube.com/watch?v=MWywZ54j-2w,
https://itunes.apple.com/tw/app/%E6%8E%A2%E7%B4%A2%E7%A7%91%E5%8D%9A%E5%B0%8B%E5%AF%B6%E8%B6%A3/id1188562525?mt=8,
https://play.google.com/store/apps/details?id=tw.cameo.nmns&hl=zh_TW"
OhBear,2016,喔熊列車圓夢計畫,WEB,一頁式活動宣傳網站，有輕鬆可愛的動畫以及整合Facebook的粉絲留言活動。,img/oh-bear.jpg,活動網頁,http://ohbeartrain.cameo.tw/
NCTA Guide,2017,臺灣音樂館導覽,APP,提供館內Beacon導覽以及展品多國語言語音解說。另有VR音樂家書房，讓訪客更能深入音樂家創作的空間。加上AR音樂遊戲，以有趣的方式引領訪客進入台灣傳統音樂的世界。,img/ncta.jpg,"官方網站,
iOS下載,
Android下載","http://virtualtmi.ncfta.gov.tw/,https://itunes.apple.com/tw/app/%E8%87%BA%E9%9F%B3%E5%B8%B8%E8%A8%AD%E5%B1%95/id1317222054?mt=8,
https://play.google.com/store/apps/details?id=tw.cameo.ncfta"
NTSO Theater,2017,國台交互動劇場,EXPO,藉由Kinect體感操作，讓大小朋友體驗樂器合奏，以及變身樂團指揮的樂趣。,img/ntso-kinect.jpg,"Blog介紹,
新聞頁面","https://medium.com/@sengallery/%E5%9C%8B%E5%AE%B6%E5%8F%B0%E7%81%A3%E4%BA%A4%E9%9F%BF%E6%A8%82%E5%9C%98-%E9%9F%B3%E6%A8%82%E9%AD%94%E6%B3%95%E6%A3%AE%E6%9E%97%E8%A3%BD%E4%BD%9C%E7%B4%80%E9%8C%84-a056106f094a,
http://news.ltn.com.tw/news/life/breakingnews/2269941"
NTSO Guide,2017,國台交導覽,APP,結合AR互動、VR拆解樂器、Beacon闖關遊戲，讓民眾以最有趣的方式進入交響樂的世界。,img/ntso-guide.jpg,"Blog介紹,
新聞頁面","https://medium.com/@sengallery/%E5%9C%8B%E5%AE%B6%E5%8F%B0%E7%81%A3%E4%BA%A4%E9%9F%BF%E6%A8%82%E5%9C%98-%E9%9F%B3%E6%A8%82%E9%AD%94%E6%B3%95%E6%A3%AE%E6%9E%97%E8%A3%BD%E4%BD%9C%E7%B4%80%E9%8C%84-a056106f094a,
http://news.ltn.com.tw/news/life/breakingnews/2269941"
NTSO Map,2017,國台交互動地圖,EXPO,提供明確資訊以及簡易操作，讓民眾清楚館內設施與參觀路線。,img/ntso-map.jpg,"Blog介紹,
新聞頁面","https://medium.com/@sengallery/%E5%9C%8B%E5%AE%B6%E5%8F%B0%E7%81%A3%E4%BA%A4%E9%9F%BF%E6%A8%82%E5%9C%98-%E9%9F%B3%E6%A8%82%E9%AD%94%E6%B3%95%E6%A3%AE%E6%9E%97%E8%A3%BD%E4%BD%9C%E7%B4%80%E9%8C%84-a056106f094a,
http://news.ltn.com.tw/news/life/breakingnews/2269941"
NTSO Animals,2017,國台交小動物演奏師,ANIM,可愛紙公仔搭配AR動畫，小動物們可獨奏亦可合奏，好玩、好看、又好聽。,img/ntso-animals.jpg,"Blog介紹,
新聞頁面,
影片畫面","https://medium.com/@sengallery/%E5%9C%8B%E5%AE%B6%E5%8F%B0%E7%81%A3%E4%BA%A4%E9%9F%BF%E6%A8%82%E5%9C%98-%E9%9F%B3%E6%A8%82%E9%AD%94%E6%B3%95%E6%A3%AE%E6%9E%97%E8%A3%BD%E4%BD%9C%E7%B4%80%E9%8C%84-a056106f094a,
http://news.ltn.com.tw/news/life/breakingnews/2269941,
video/Animals.mp4"
CameoVR,2017,卡米爾VR簡報,WEB,VR簡報平台的官方網站，提供一種新型態的簡報展示及編輯方式，以國外使用者為目標客群。,img/cameo-vr.jpg,官方網站,http://www.cameo.tw/vr/
CloudShop,2018,鼎鼎雲商殿,WEB,下一代的雲端VR概念商城，整合Unity的WebGL技術，只要打開網頁就可以VR方式遊歷整間虛擬百貨，也可實際購買喜愛的商品。,img/cloud-shop.png,,
JJDog,2018,白眼星球特展,EXPO,高雄夢時代的寵物星球互動展件，利用特徵圖技術，讓超大的貪吃網紅狗狗酒酒目不轉睛盯著民眾手上的骨頭，一旦把骨頭藏起來，牠就會不甘的翻翻白眼。,img/jj-dog.jpg,活動介紹,http://www.wondershow.tw/web/post_01/18017
NTSO Animation,2018,國台交動畫,ANIM,透過Unity Timeline技術製作多首動畫。,img/ntso-anim.png,"貓提琴家,
卡門,
小夜曲,
貓豎琴家,
土耳其進行曲","video/CatViolinist.mp4,
video/Carmen.mp4,
video/Serenade.mp4,
video/CatHarp.mp4,
video/Rondo.mp4"
CameoGeo,2018,卡米爾地理數據視覺化,APP,,img/cameo-geo.png,,