id,year,title,type,desc,img,link,linkTitle,link2,linkTitle2,link3,linkTitle3
Swordsman,2014,聖劍使的禁咒詠唱,APP,主UI、技能系統、Server端尋路AI、對話演出系統,img/swordsman.jpg,https://www.youtube.com/watch?v=4mpUbb8b2Dw,介紹影片,,,,
MissUndine,2015,溫蒂妮小姐AR紅包,APP,AR小互動。本APP是企業版，購買紅包以後透過qr code下載。,img/miss-undine.jpg,http://cameo.tw/missundine/envelope/index.php,活動網頁,,,,
QToto,2015,兒童卡啦OK,APP,提供親子同樂的攝影棚，讓爸爸、媽媽、孩子可以一起跟著兒歌唱唱跳跳。並透過簡單的操作，錄製成影片。,img/qtoto.jpeg,https://itunes.apple.com/tw/app/qtoto/id1035232788?mt=8,IOS下載連結,,,,
ArtBank,2015,藝術銀行展品租借APP,APP,簡潔俐落的介面方便挑選欲租借的藝術作品，除了可以觀看作品、作者介紹，也能使用AR功能預覽擺放在實際場域的樣貌。,img/artbank.png,(企業版不提供下載),x,,,,
LandBank,2016,土銀行史館,APP,VR 720現場實景互動功能,img/landbank.jpg,https://itunes.apple.com/tw/app/%E5%9C%9F%E9%8A%80%E8%A1%8C%E5%8F%B2%E9%A4%A8/id1149271840?mt=8,IOS下載頁面,https://play.google.com/store/apps/details?id=com.cameo.landbank&hl=zh_TW,GooglePlay下載頁面,,
NMNS,2016,探索科博尋寶趣,APP,完整前端APP開發，含解謎任務系統、地圖系統、AR拍照上傳分享功能、VR恐龍世界、Beacon定位系統、故事演出系統等等。,img/nmns.jpg,https://www.youtube.com/watch?v=MWywZ54j-2w,介紹影片,https://itunes.apple.com/tw/app/%E6%8E%A2%E7%B4%A2%E7%A7%91%E5%8D%9A%E5%B0%8B%E5%AF%B6%E8%B6%A3/id1188562525?mt=8,IOS下載頁面,https://play.google.com/store/apps/details?id=tw.cameo.nmns&hl=zh_TW,GooglePlay下載頁面
OhBear,2016,喔熊列車圓夢計畫,WEB,為了有喔熊專屬的交通工具！組長直接上街請願啦！要連署一萬人組長才可以有自己的列車喔！,img/oh-bear.jpg,http://ohbeartrain.cameo.tw/,活動網頁,,,,
NCTA,2017,臺灣音樂館導覽,APP,實作館內Beacon導覽以及展品多國語言語音解說，另有VR音樂家書房讓使用者深入音樂家創作的空間。並加上AR音樂遊戲以有趣的方式引領使用者進入台灣傳統音樂的世界。,img/ncta.jpg,https://itunes.apple.com/tw/app/%E8%87%BA%E9%9F%B3%E5%B8%B8%E8%A8%AD%E5%B1%95/id1317222054?mt=8,IOS下載頁面,https://play.google.com/store/apps/details?id=tw.cameo.ncfta,GooglePlay下載頁面,,
NTSO Theater,2017,國台交互動劇場,"APP,EXPO",藉由Kinect體感操作，讓大小朋友體驗樂器合奏，以及變身樂團指揮的樂趣。,img/ntso-kinect.jpg,https://medium.com/@sengallery/%E5%9C%8B%E5%AE%B6%E5%8F%B0%E7%81%A3%E4%BA%A4%E9%9F%BF%E6%A8%82%E5%9C%98-%E9%9F%B3%E6%A8%82%E9%AD%94%E6%B3%95%E6%A3%AE%E6%9E%97%E8%A3%BD%E4%BD%9C%E7%B4%80%E9%8C%84-a056106f094a,介紹blog,http://news.ltn.com.tw/news/life/breakingnews/2269941,新聞頁面,,
NTSO Guide,2017,國台交導覽APP,"APP,EXPO",結合AR互動、VR拆解樂器、Beacon闖關遊戲，讓民眾以最有趣的方式進入交響樂的世界。,img/ntso-guide.jpg,https://medium.com/@sengallery/%E5%9C%8B%E5%AE%B6%E5%8F%B0%E7%81%A3%E4%BA%A4%E9%9F%BF%E6%A8%82%E5%9C%98-%E9%9F%B3%E6%A8%82%E9%AD%94%E6%B3%95%E6%A3%AE%E6%9E%97%E8%A3%BD%E4%BD%9C%E7%B4%80%E9%8C%84-a056106f094a,介紹blog,http://news.ltn.com.tw/news/life/breakingnews/2269941,新聞頁面,,
NTSO Map,2017,國台交互動地圖,"APP,EXPO",提供明確資訊以及簡易操作，讓民眾清楚館內設施與參觀路線。,img/ntso-map.jpg,https://medium.com/@sengallery/%E5%9C%8B%E5%AE%B6%E5%8F%B0%E7%81%A3%E4%BA%A4%E9%9F%BF%E6%A8%82%E5%9C%98-%E9%9F%B3%E6%A8%82%E9%AD%94%E6%B3%95%E6%A3%AE%E6%9E%97%E8%A3%BD%E4%BD%9C%E7%B4%80%E9%8C%84-a056106f094a,介紹blog,http://news.ltn.com.tw/news/life/breakingnews/2269941,新聞頁面,,
NTSO Animals,2017,國台交小動物獨奏,"APP,EXPO",可愛紙公仔搭配AR動畫，可獨奏亦可合奏，好玩、好看、又好聽。,img/ntso-animals.jpg,https://medium.com/@sengallery/%E5%9C%8B%E5%AE%B6%E5%8F%B0%E7%81%A3%E4%BA%A4%E9%9F%BF%E6%A8%82%E5%9C%98-%E9%9F%B3%E6%A8%82%E9%AD%94%E6%B3%95%E6%A3%AE%E6%9E%97%E8%A3%BD%E4%BD%9C%E7%B4%80%E9%8C%84-a056106f094a,介紹blog,http://news.ltn.com.tw/news/life/breakingnews/2269941,新聞頁面,,
CameoVR,2017,卡米爾VR簡報 ,WEB,VR簡報平台的官方網站，提供一種新型態的簡報展示及編輯方式，以國外使用者為目標客群。,img/cameo-vr.jpg,http://www.cameo.tw/vr/,介紹網頁,,,,
DDShop,2018,鼎鼎雲商殿,WEB,,,,,,,,
JJDog,2018,白眼星球,EXPO,高雄夢時代《萌系星球汪喵特展》翻白眼酒酒。拿起肉骨頭到感應點讓酒酒聞香吧！把肉骨頭抽走，酒酒就會翻白眼唷！,img/jj-dog.jpg,http://www.wondershow.tw/web/post_01/18017,活動介紹,,,,
NTSOAnimation,2018,國台交動畫,UNITY,,,,,,,,
CameoGeo,2018,卡米爾地理視覺數據,APP,,img/cameo-geo.png,,,,,,